OG000000,Ap_ca_Pber_PBANKA_0902400.1
OG000001,Ap_ca_Pber_PBANKA_0925200.1
OG000002,Ap_ca_Pber_PBANKA_0104100.1
OG000003,Ap_ca_Pber_PBANKA_1418900.1
OG000004,Ap_ca_Pber_PBANKA_0214000.1
OG000005,Ap_ca_Pber_PBANKA_1309700.1
OG000006,Ap_ca_Pber_PBANKA_0931700.1
OG000007,Ap_ca_Pber_PBANKA_0942700.1
OG000008,Ap_ca_Pber_PBANKA_1443000.1
OG000010,Ap_ca_Pber_PBANKA_1133200.1
OG000011,Ap_ca_Pber_PBANKA_0818600.1
OG000014,Ap_ca_Pber_PBANKA_0927300.1
OG000015,Ap_ca_Pber_PBANKA_1108100.1
OG000016,Ap_ca_Pber_PBANKA_0405200.1
OG000017,Ap_ca_Pber_PBANKA_1208000.1
OG000018,Ap_ca_Pber_PBANKA_1419800.1
OG000019,Ap_ca_Pber_PBANKA_1415600.1
OG000020,Ap_ca_Pber_PBANKA_1364800.1
OG000021,Ap_ca_Pber_PBANKA_0934200.1
OG000023,Ap_ca_Pber_PBANKA_1438300.1
OG000024,Ap_ca_Pber_PBANKA_0823800.1
OG000025,Ap_ca_Pber_PBANKA_0503500.1
OG000027,Ap_ca_Pber_PBANKA_0417700.1
OG000028,Ap_ca_Pber_PBANKA_1459300.1
OG000029,Ap_ca_Pber_PBANKA_1413600.1
OG000030,Ap_ca_Pber_PBANKA_1355700.1
OG000031,Ap_ca_Pber_PBANKA_0910200.1
OG000032,Ap_ca_Pber_PBANKA_1018100.1
OG000033,Ap_ca_Pber_PBANKA_1305900.1
OG000034,Ap_ca_Pber_PBANKA_0407200.1
OG000035,Ap_ca_Pber_PBANKA_1309200.1
OG000036,Ap_ca_Pber_PBANKA_0211000.1
OG000037,Ap_ca_Pber_PBANKA_0933400.2
OG000039,Ap_ca_Pber_PBANKA_1424900.1
OG000040,Ap_ca_Pber_PBANKA_0310000.1
OG000041,Ap_ca_Pber_PBANKA_0302500.1
OG000042,Ap_ca_Pber_PBANKA_0704500.1
OG000044,Ap_ca_Pber_PBANKA_0914400.1
OG000045,Ap_ca_Pber_PBANKA_1107100.1
OG000046,Ap_ca_Pber_PBANKA_1228800.1
OG000047,Ap_ca_Pber_PBANKA_1034400.1
OG000049,Ap_ca_Pber_PBANKA_0208800.1
OG000050,Ap_ca_Pber_PBANKA_1206600.1
OG000051,Ap_ca_Pber_PBANKA_1423200.1
OG000052,Ap_ca_Pber_PBANKA_0703700.1
OG000053,Ap_ca_Pber_PBANKA_1331900.1
OG000056,Ap_ca_Pber_PBANKA_0412400.1
OG000057,Ap_ca_Pber_PBANKA_0912100.1
OG000058,Ap_ca_Pber_PBANKA_0810900.1
OG000059,Ap_ca_Pber_PBANKA_0707300.1
OG000060,Ap_ca_Pber_PBANKA_1310400.1
OG000061,Ap_ca_Pber_PBANKA_0929900.1
OG000062,Ap_ca_Pber_PBANKA_1220300.1
OG000063,Ap_ca_Pber_PBANKA_1125100.1
OG000065,Ap_ca_Pber_PBANKA_0812400.1
OG000066,Ap_ca_Pber_PBANKA_1225600.1
OG000067,Ap_ca_Pber_PBANKA_0803200.1
OG000068,Ap_ca_Pber_PBANKA_1124900.1
OG000069,Ap_ca_Pber_PBANKA_1231500.1
OG000070,Ap_ca_Pber_PBANKA_0924900.1
OG000072,Ap_ca_Pber_PBANKA_0512300.1
OG000073,Ap_ca_Pber_PBANKA_1453300.1
OG000075,Ap_ca_Pber_PBANKA_0311900.1
OG000076,Ap_ca_Pber_PBANKA_1457800.1
OG000077,Ap_ca_Pber_PBANKA_1407700.1
OG000079,Ap_ca_Pber_PBANKA_1460400.1
